CS,BZO,BZO_ratio,Total_GSL,C3ratio_emmeans,Alk_emmeans,OH_emmeans,MSO_emmeans,GSOH_emmeans,lc,sc,GSOX_emmeans,Alk_OH_ratio,Ref,AOP,MAM,GSOH,Key,Classification,Classification_name,PC1,PC2,PC3,PC4,PC5,PC6,Name,Country,Lat,Long
CS77310,0.003199275,0.176639198,0.01811192,0.105325383,0.152463321,0.203255876,0.01708497,0.938110008,0.628232681,0.179840073,0.627195833,0.750105354,Accession,Alk,C4,NF,C4_Alk_NF,10,Butenyl,2.197925802,0.878055299,-0.422480339,0.703219075,0.041784364,2.22E-16,T710,SWE,55.8403,13.3106
CS77311,0.00246453,0.153188035,0.016088267,1.003245545,0.719469135,0.312545574,-0.014513173,0.938110008,0.762367511,0.061629572,-0.017501536,2.301965517,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.253033225,-1.033599448,-0.360657632,-0.325394016,0.328786876,4.44E-16,T720,SWE,55.8411,13.3047
CS77316,0.000991079,0.053305185,0.018592544,0.99991308,0.573107213,0.421693488,0.000363563,0.937946456,0.76183232,0.121901499,0.004835737,1.359061094,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.275396318,-0.339551903,-0.161818577,-0.329576758,0.098219689,5.00E-16,T790,SWE,55.8386,13.3186
CS77319,0.002979,0.13499774,0.022067036,0.032866424,-0.005062969,0.276349806,0.04198526,0.937946456,0.605551328,0.25418724,0.686727903,-0.018320872,Accession,MSO,C4,NF,C4_MSO_NF,12,4MSO,2.497853192,1.608764473,-0.160550309,0.591709676,-0.208935382,4.44E-16,T840,SWE,55.9336,13.5519
CS77320,0.00279963,0.128982808,0.021705451,0.07761076,0.116961958,0.185480693,0.023864092,0.938110008,0.653797291,0.195615333,0.673693257,0.630588316,Accession,Alk,C4,NF,C4_Alk_NF,10,Butenyl,2.440411446,1.023039588,-0.369718198,0.673617251,0.088905481,6.66E-16,T850,SWE,55.9419,13.5603
CS77321,0.001549848,0.062134764,0.024943331,0.997675693,-0.003066289,0.122739869,0.145080512,0.937946456,0.535709363,0.371309067,0.735245908,-0.024982011,Accession,MSO,C3,NF,C3_MSO_NF,6,3MSO,2.211066996,2.333664474,1.225139532,-1.628692546,1.499383848,8.88E-16,T860,SWE,55.9403,13.5511
CS77322,0.002924424,0.13813325,0.021171036,0.06958759,0.105202159,0.166209374,0.017699246,0.938110008,0.620750258,0.222971612,0.71088922,0.632949612,Accession,Alk,C4,NF,C4_Alk_NF,10,Butenyl,2.552859722,1.028279945,-0.444915902,0.813069196,0.204492655,2.22E-16,T880,SWE,55.9392,13.5539
CS77323,0.002587905,0.152802589,0.016936264,0.01150752,-0.005726538,0.288161257,0.039137626,0.937946456,0.532130992,0.29281499,0.678427655,-0.019872684,Accession,MSO,C4,NF,C4_MSO_NF,12,4MSO,2.465935694,1.59766886,-0.193697964,0.649360376,-0.274425783,4.44E-16,T900,SWE,55.9428,13.5558
CS77325,0.001031882,0.04846447,0.021291515,0.999902468,0.446557701,0.516214635,0.000407953,0.937946456,0.784620725,0.094866053,0.036819712,0.865062071,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.340656752,0.207919852,-0.122746074,-0.112590843,-0.024950859,9.44E-16,T960,SWE,55.9319,13.5508
CS77326,0.001108727,0.043330647,0.025587594,0.991086954,-0.002612706,0.092587454,0.314470892,0.937946456,0.497669768,0.424798516,0.59555436,-0.028218795,Accession,MSO,C3,NF,C3_MSO_NF,6,3MSO,2.902080033,3.024869056,2.976225281,-4.554469211,0.65436984,2.22E-15,T970,SWE,55.9281,13.5481
CS77327,0.002927184,0.160614464,0.018224909,0.027131018,0.005136218,0.329229726,0.037956579,0.937946456,0.509556232,0.301269871,0.627677477,0.015600711,Accession,MSO,C4,NF,C4_MSO_NF,12,4MSO,2.222980637,1.580806856,-0.18327225,0.628779568,-0.416738911,6.66E-16,T980,SWE,55.9261,13.5319
CS77328,0.000438042,0.048100763,0.009106758,1.00632884,1.246262287,0.158226902,-0.028300811,0.938110008,0.888315478,0.055833921,-0.376188378,7.876424745,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-2.116251179,-3.228606515,-0.566660699,-1.065663694,0.013338251,2.22E-16,T990,SWE,55.6528,13.2244
CS77330,0.003876919,0.143189188,0.027075501,0.993700845,0.732571699,0.236505671,-0.002520643,0.938110008,0.630754647,0.210849691,0.033443274,3.09748048,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.893498138,-1.08240337,-0.270277306,-0.531410504,0.509588118,3.89E-16,TAA 04,SWE,62.6422,17.7406
CS77335,0.003419185,0.128600555,0.026587638,0.983813809,0.560540907,0.452379033,-0.005298317,0.938110008,0.748837639,0.10215112,-0.007621623,1.239095685,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.375074546,-0.302932388,-0.215024949,-0.208455817,0.008221417,3.89E-16,T??D 04,SWE,62.8717,18.3436
CS77337,0.002018417,0.052074858,0.038759914,1.001935502,0.604235609,0.489934549,-0.008655025,0.938110008,0.888582934,0.042895297,-0.085515133,1.233298632,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.70695467,-0.457636147,-0.227785509,-0.255305347,-0.165537294,1.11E-15,T??D 06,SWE,62.8719,18.3422
CS77339,0.000716556,0.030829673,0.023242413,0.029336899,-0.002598985,0.049076797,0.067388301,0.937946456,0.472391053,0.470130015,0.886133888,-0.052957521,Accession,MSO,C4,NF,C4_MSO_NF,12,4MSO,3.610396463,1.571653735,0.010459082,0.216021307,0.502612737,-2.22E-16,T??L 07,SWE,62.6322,17.6906
cs77341,0.003227293,0.141831276,0.022754452,0.980295829,0.673208041,0.230547014,0.002139959,0.938091166,0.394069428,0.329406698,0.094104985,2.920046665,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.662335819,-0.840912161,-0.229173171,-0.488440003,0.593504256,0,Tamm-27,FIN,60,23.5
